user_id,origin_tags,tag_value
1,"<app>,<android>,<css>,<cocoapods>,<butterknife>","[1.0, 0.851, 0.359, 0.336, 0.85]"
2,"<java>,<数据库>,<redis>,<python>,<j2cache>","[1.0, 0.929, 0.743, 0.74, 0.722]"
3,"<java>,<maven>,<fastjson>,<spring>,<mybatis>","[1.0, 0.472, 0.465, 0.418, 0.406]"
4,"<javascript>,<npm>,<chrome>,<html>,<css>","[1.0, 0.542, 0.35, 0.312, 0.281]"
5,"<java>,<jfinal>,<maven>,<数据库>,<sql>","[1.0, 0.838, 0.709, 0.642, 0.592]"
6,"<java>,<maven>,<json>,<css>,<tomcat>","[1.0, 0.468, 0.444, 0.342, 0.241]"
7,"<java>,<maven>,<数据库>,<tomcat>,<mysql>","[1.0, 0.901, 0.896, 0.892, 0.88]"
8,"<android>,<abase>,<jfinal>,<eclipse>,<开发工具>","[1.0, 1.0, 1.0, 0.779, 0.779]"
9,"<objective-c>,<image>,<ios>,<app>,<wechat>","[1.0, 0.704, 0.427, 0.242, 0.18]"
10,"<javascript>,<html>,<java>,<python>,<app>","[1.0, 0.136, 0.817, 0.609, 0.594]"
11,"<android>,<activity>,<java>,<xml>,<数据库>","[1.0, 0.702, 0.285, 0.277, 0.206]"
12,"<java>,<maven>,<watermark>,<mysql>,<eclipse>","[1.0, 0.96, 0.931, 0.883, 0.56]"
13,"<c>,<linux>,<apache>,<数据库>,<json>","[1.0, 0.744, 0.453, 0.378, 0.329]"
14,"<java>,<netty>,<mysql>,<thrift>,<redis>","[1.0, 0.71, 0.709, 0.443, 0.443]"
15,"<c#>,<php>,<javascript>,<ruby>,<delphi>","[0.98, 0.867, 0.867, 0.864, 0.864]"
16,"<php>,<node.js>,<敏捷开发>,<react>,<mysql>","[1.0, 0.839, 0.839, 0.839, 0.025]"
17,"<android>,<linux>,<c>,<mingw>,<ios>","[0.964, 0.91, 0.856, 0.767, 0.703]"
18,"<javascript>,<iphone>,<css>,<jquery>,<firefox>","[0.947, 0.891, 0.801, 0.581, 0.528]"
19,"<c#>,<csharp>,<shell>,<html>,<css>","[1.0, 0.638, 0.598, 0.471, 0.393]"
20,"<java>,<spring>,<websocket>,<mybatis>,<redis>","[1.0, 1.0, 0.778, 0.701, 0.681]"
